90,542,0,81,none
90,549,0,0,none
90,549,0,0,none
90,549,0,0,none
90,549,0,0,none
90,549,0,0,none
110,549,300,0,MoveRight
135,549,300,0,MoveRight
160,549,300,0,MoveRight
185,549,300,0,MoveRight
210,549,300,0,MoveRight
235,549,300,0,MoveRight
260,549,300,0,MoveRight
285,549,300,0,MoveRight
310,543,300,-400,MoveRight
335,514,300,-318,MoveRight
360,491,300,-236,MoveRight
385,475,300,-154,MoveRight
410,467,300,-73,MoveRight
435,465,300,8,MoveRight
460,469,300,90,MoveRight
475,481,0,171,none
475,489,0,0,none
495,489,300,0,MoveRight
520,489,300,0,MoveRight
545,464,300,-350,MoveRight
570,439,300,-269,MoveRight
595,421,300,-187,MoveRight
620,409,300,-105,MoveRight
645,405,300,-24,MoveRight
660,407,0,57,none
660,415,0,139,none
660,431,0,220,none
685,454,300,302,MoveRight
710,456,300,0,MoveRight
735,456,300,0,MoveRight
760,456,300,0,MoveRight
785,426,300,-334,MoveRight
798,402,0,-252,MoveRight
803,385,300,-171,MoveRight
828,375,300,-89,MoveRight
853,371,300,-7,MoveRight
878,375,300,73,MoveRight
903,385,300,155,MoveRight
928,389,300,0,MoveRight
918,389,-300,0,MoveLeft
893,389,-300,0,MoveLeft
868,389,-300,0,MoveLeft
843,364,-300,-350,MoveLeft
818,339,-300,-269,MoveLeft
793,321,-300,-187,MoveLeft
776,309,-300,-105,MoveLeft
751,305,-300,-24,MoveLeft
726,307,-300,57,MoveLeft
701,315,-300,139,MoveLeft
676,317,-300,0,MoveLeft
651,317,-300,0,MoveLeft
626,317,-300,0,MoveLeft
601,298,-300,-367,MoveLeft
576,272,-300,-285,MoveLeft
551,252,-300,-203,MoveLeft
526,239,-300,-122,MoveLeft
501,233,-300,-40,MoveLeft
476,234,-300,41,MoveLeft
451,241,-300,122,MoveLeft
426,255,-300,204,MoveLeft
401,277,-300,286,MoveLeft
376,304,-300,367,MoveLeft
351,339,-300,449,MoveLeft
326,381,-300,531,MoveLeft
301,429,-300,612,MoveLeft
276,484,-300,694,MoveLeft
251,546,-300,775,MoveLeft
226,549,-300,0,MoveLeft
201,549,-300,0,MoveLeft
176,549,-300,0,MoveLeft
186,549,300,0,MoveRight
211,549,300,0,MoveRight
236,549,300,0,MoveRight
261,549,300,0,MoveRight
286,549,300,0,MoveRight
311,549,300,0,MoveRight
336,524,300,-350,MoveRight
361,499,300,-269,MoveRight
386,481,300,-187,MoveRight
411,469,300,-105,MoveRight
411,465,0,-24,none
426,467,300,57,MoveRight
451,475,300,139,MoveRight
476,489,300,0,MoveRight
501,489,300,0,MoveRight
526,489,300,0,MoveRight
551,470,300,-367,MoveRight
576,444,300,-285,MoveRight
601,424,300,-203,MoveRight
621,411,0,-122,none
621,405,0,-40,none
636,406,300,41,MoveRight
661,413,300,122,MoveRight
681,427,0,204,none
681,449,0,286,none
681,456,0,0,none
681,456,0,0,none
696,456,300,0,MoveRight
721,437,300,-367,MoveRight
746,411,300,-285,MoveRight
771,405,300,49,MoveRight
796,413,300,130,MoveRight
798,428,0,212,MoveRight
798,450,0,294,MoveRight
798,456,0,0,MoveRight
798,456,0,0,MoveRight
798,426,0,-334,MoveRight
798,402,0,-252,MoveRight
803,385,300,-171,MoveRight
828,375,300,-89,MoveRight
853,371,300,-7,MoveRight
878,375,300,73,MoveRight
903,385,300,155,MoveRight
928,389,300,0,MoveRight
943,389,0,0,none
943,389,0,0,none
933,389,-300,0,MoveLeft
908,389,-300,0,MoveLeft
883,370,-300,-367,MoveLeft
858,344,-300,-285,MoveLeft
833,324,-300,-203,MoveLeft
808,311,-300,-122,MoveLeft
783,305,-300,-40,MoveLeft
758,306,-300,41,MoveLeft
733,313,-300,122,MoveLeft
708,317,-300,0,MoveLeft
683,317,-300,0,MoveLeft
658,317,-300,0,MoveLeft
673,317,300,0,MoveRight
698,317,300,0,MoveRight
688,317,-300,0,MoveLeft
663,317,-300,0,MoveLeft
683,317,300,0,MoveRight
698,317,0,0,none
683,317,-300,0,MoveLeft
658,317,-300,0,MoveLeft
633,317,-300,0,MoveLeft
608,304,-300,-383,MoveLeft
583,276,-300,-301,MoveLeft
558,255,-300,-220,MoveLeft
533,241,-300,-138,MoveLeft
508,234,-300,-56,MoveLeft
483,233,-300,24,MoveLeft
458,239,-300,106,MoveLeft
433,252,-300,188,MoveLeft
408,272,-300,269,MoveLeft
383,298,-300,351,MoveLeft
358,332,-300,433,MoveLeft
333,372,-300,514,MoveLeft
308,419,-300,596,MoveLeft
283,473,-300,678,MoveLeft
258,533,-300,759,MoveLeft
233,549,-300,0,MoveLeft
208,549,-300,0,MoveLeft
183,549,-300,0,MoveLeft
158,549,-300,0,MoveLeft
133,549,-300,0,MoveLeft
